geometry,temp_C,coeff_Vmp_Voc,gmpp_V,gmpp_P_W,n_peaks,power_lost_frac,region_error,region_error_costly
whole_substring,45.0,0.8583,27.961,87.08,2,0.0397,False,True
whole_substring,60.0,0.8604,27.782,101.155,3,0.0473,False,True
whole_substring,60.0,0.8494,24.604,37.063,2,0.0264,False,True
sub_substring,45.0,0.8741,29.836,64.802,2,0.064,False,True
sub_substring,45.0,0.5473,23.301,168.422,2,0.0058,False,False
sub_substring,60.0,0.8401,30.109,54.961,2,0.0227,False,True
sub_substring,60.0,0.5183,20.5,164.942,2,0.0064,False,False
sub_substring,60.0,0.8034,31.469,184.726,1,0.0002,False,False
whole_substring,60.0,0.54,19.938,62.1,3,0.0015,False,False
sub_substring,60.0,0.5227,18.798,99.809,2,0.003,False,False
sub_substring,45.0,0.5684,19.155,68.048,3,0.0362,False,True
whole_substring,25.0,0.8422,33.636,198.761,2,0.0289,False,True
sub_substring,60.0,0.5264,19.767,77.466,2,0.0014,False,False
sub_substring,25.0,0.5777,27.041,71.593,3,0.0457,False,True
whole_substring,25.0,0.5647,21.398,77.512,3,0.0313,False,True
sub_substring,45.0,0.8728,32.416,34.503,2,0.0548,False,True
whole_substring,25.0,0.8551,38.31,161.85,1,0.0426,False,True
whole_substring,25.0,0.5413,19.652,129.129,2,0.002,False,False
sub_substring,60.0,0.5451,20.808,95.379,3,0.0052,False,False
whole_substring,25.0,0.5449,20.641,154.114,2,0.0053,False,False
sub_substring,60.0,0.859,32.913,187.748,2,0.0574,False,True
sub_substring,25.0,0.556,16.01,55.627,3,0.0188,False,True
uniform,25.0,0.8132,29.765,158.832,1,0.0022,False,False
uniform,25.0,0.8511,36.495,69.811,1,0.026,False,True
sub_substring,25.0,0.2497,9.933,73.062,3,0.0467,False,True
whole_substring,45.0,0.8132,26.297,96.028,1,0.0021,False,False
whole_substring,60.0,0.8792,28.094,70.657,3,0.069,False,True
whole_substring,60.0,0.8708,27.761,66.216,2,0.059,False,True
uniform,45.0,0.8097,34.401,248.731,1,0.0012,False,False
uniform,45.0,0.802,29.251,252.89,1,0.0,False,False
whole_substring,60.0,0.7993,30.192,149.713,1,0.0,False,False
sub_substring,45.0,0.5627,22.723,123.334,3,0.026,False,True
uniform,60.0,0.8466,49.709,109.073,1,0.0216,False,True
sub_substring,60.0,0.532,21.297,110.826,2,0.0,False,False
uniform,25.0,0.8551,36.957,72.836,1,0.0301,False,True
whole_substring,45.0,0.8494,29.162,119.116,2,0.0333,False,True
sub_substring,60.0,0.5583,20.988,71.174,3,0.0189,False,True
sub_substring,60.0,0.5402,19.827,107.535,3,0.0017,False,False
whole_substring,25.0,0.2593,10.838,62.971,3,0.0074,False,False
sub_substring,45.0,0.8241,34.824,203.95,2,0.0118,False,True
sub_substring,60.0,0.8683,27.793,102.725,2,0.0547,False,True
sub_substring,25.0,0.9093,39.894,72.942,3,0.1031,False,True
whole_substring,25.0,0.8734,28.39,102.047,3,0.0617,False,True
whole_substring,25.0,0.8553,24.524,90.064,2,0.0438,False,True
sub_substring,60.0,0.5625,17.27,45.641,3,0.0237,False,True
uniform,45.0,0.8344,31.759,40.215,1,0.0118,False,True
whole_substring,45.0,0.5448,12.035,38.146,3,0.0045,False,False
whole_substring,45.0,0.866,28.612,77.789,3,0.0531,False,True
sub_substring,60.0,0.8846,32.332,46.477,3,0.0738,False,True
uniform,25.0,0.8413,31.756,165.915,1,0.0183,False,True
uniform,25.0,0.8554,34.357,53.89,1,0.0289,False,True
uniform,45.0,0.8179,27.552,139.683,1,0.0035,False,False
sub_substring,60.0,0.5722,14.684,45.446,3,0.0473,False,True
uniform,60.0,0.8193,35.285,255.695,1,0.0039,False,False
sub_substring,45.0,0.5408,18.155,119.418,2,0.0014,False,False
uniform,25.0,0.8301,38.723,251.751,1,0.0103,False,True
whole_substring,60.0,0.5521,20.286,39.58,3,0.0115,False,True
whole_substring,60.0,0.5511,17.479,87.64,3,0.0104,False,True
whole_substring,45.0,0.8891,31.356,46.16,3,0.0822,False,True
sub_substring,60.0,0.9061,32.467,41.165,3,0.0911,False,True
whole_substring,25.0,0.5617,23.906,64.335,2,0.0232,False,True
whole_substring,25.0,0.5402,19.595,129.534,2,0.0018,False,False
whole_substring,60.0,0.5495,14.196,39.171,3,0.0078,False,False
sub_substring,25.0,0.5507,25.665,173.199,2,0.0087,False,False
whole_substring,60.0,0.5678,17.932,65.974,3,0.0326,False,True
whole_substring,45.0,0.8744,29.371,80.387,3,0.0649,False,True
sub_substring,60.0,0.5433,19.116,59.513,2,0.0021,False,False
whole_substring,45.0,0.8615,19.534,59.474,3,0.0503,False,True
sub_substring,60.0,0.5607,17.411,68.843,3,0.0216,False,True
sub_substring,25.0,0.5551,20.103,97.1,2,0.0157,False,True
sub_substring,60.0,0.5293,19.499,65.274,2,0.0006,False,False
sub_substring,60.0,0.5321,14.199,78.92,2,0.0,False,False
sub_substring,60.0,0.5235,20.066,102.408,2,0.0032,False,False
sub_substring,25.0,0.6077,20.778,36.78,3,0.1066,False,True
uniform,60.0,0.8009,40.151,178.218,1,0.0,False,False
sub_substring,25.0,0.8625,30.598,88.88,2,0.0518,False,True
whole_substring,45.0,0.8575,28.304,64.358,2,0.043,False,True
whole_substring,60.0,0.5243,16.486,111.382,2,0.0029,False,False
